source,address,etak_id,orientation,pv_area_m2
540121820,Tiigi 19,719155,south,172.34
540121820,Tiigi 19,719155,none,26.64
547236018,TÃ¤he 2,716647,east,182.69
547236054,Aleksandri 3,720043,north,146.65
547236056,Pepleri 10,719414,north,169.67
547236058,Turu 9,715116,north,147.85
547236060,Turu 3,713413,none,165.44
547236062,Pepleri 3,720467,north,139.91
547236064,Kalevi 10,721071,north,96.41
547236064,Kalevi 10,721071,east,31.83
547236066,Pepleri 12,720239,north,171.77
547236068,J.Kuperjanovi 2,720448,east,193.61
547236070,Lutsu 16,719935,east,187.23
547236072,Tiigi 21,720853,north,161.09
547236074,Tiigi 23,720593,north,162
547236076,Tiigi 8,716801,east,257.01
547236078,Aleksandri 12,721107,north,260.11
547236080,Kalevi 8,720592,north,168.47
547239708,Tiigi 3,720565,north,125.3
