etak_id,address,year,pv_area_m2_r,annual_kwh/pv_m2_r,annual_kwh_r,pv_area_m2_e,annual_kwh/pv_m2_e,annual_kwh_e
719155,Tiigi 19,2022,195.82,169.25926871616795,33144.350000000006,453.978,187.66008484992665,85193.54999999999
716647,TÃ¤he 2,2022,182.69,166.30308172313758,30381.910000000003,461.862,199.46938695974123,92127.33
720043,Aleksandri 3,2022,146.65,158.0440504602796,23177.160000000003,468.828,175.8477735971401,82442.36
715116,Turu 9,2022,147.85,160.6518092661481,23752.369999999995,482.049,176.14483174946943,84910.44
713413,Turu 3,2022,165.44,149.78723404255322,24780.800000000003,477.837,211.8636899193658,101236.31
720467,Pepleri 3,2022,139.91,142.088628403974,19879.620000000003,428.364,176.30179006639213,75521.34
720239,Pepleri 12,2022,171.77,155.8007801129417,26761.899999999998,727.407,176.53880152376863,128415.56
720448,J.Kuperjanovi 2,2022,193.61,149.6286348845617,28969.59999999999,583.533,178.11774141308203,103937.58
719935,Lutsu 16,2022,187.23,107.95983549644818,20213.319999999992,427.428,177.56845597387164,75897.73000000001
720853,Tiigi 21,2022,161.09,144.84921472468804,23333.76,423.891,175.0269055016502,74192.33
720593,Tiigi 23,2022,162.0,159.07345679012343,25769.899999999998,433.629,175.24658175537152,75992.0
721107,Aleksandri 12,2022,260.11,175.61808465649148,45680.02,718.956,175.90279516409905,126466.37
720592,Kalevi 8,2022,168.47,109.65940523535347,18474.32,555.345,177.31469626988624,98470.83
